SUMMARY______________________________,,,,,
files:,,,,,
Gdax_BTCUSD_1h_new.csv,,,,,
Gdax_ETHUSD_1h_new.csv,,,,,
predInd=2,d=1,,,,
inputs:     2,,,,,
,,,,,
trainMSE,testMSE,n,g_p,C,params
97.203981,7.41425,3,100,0.01,-s 3 -t 2 -g 3.333333e+01 -c 1.000000e-02
86.92309,7.498134,10,100,0.01,-s 3 -t 2 -g 10 -c 1.000000e-02
83.102651,7.934543,30,100,0.01,-s 3 -t 2 -g 3.333333e+00 -c 1.000000e-02
83.053362,7.806514,100,100,0.01,-s 3 -t 2 -g 1 -c 1.000000e-02
84.450557,7.859703,300,100,0.01,-s 3 -t 2 -g 3.333333e-01 -c 1.000000e-02
106.266512,7.856875,3,1000,0.01,-s 3 -t 2 -g 3.333333e+02 -c 1.000000e-02
89.524297,8.648722,10,1000,0.01,-s 3 -t 2 -g 100 -c 1.000000e-02
84.416208,8.848918,30,1000,0.01,-s 3 -t 2 -g 3.333333e+01 -c 1.000000e-02
83.201751,7.953816,100,1000,0.01,-s 3 -t 2 -g 10 -c 1.000000e-02
84.399618,7.893755,300,1000,0.01,-s 3 -t 2 -g 3.333333e+00 -c 1.000000e-02
120.582144,10.378128,3,0.001,0.1,-s 3 -t 2 -g 3.333333e-04 -c 1.000000e-01
95.213175,8.495875,10,0.001,0.1,-s 3 -t 2 -g 1.000000e-04 -c 1.000000e-01
89.574841,8.246665,30,0.001,0.1,-s 3 -t 2 -g 3.333333e-05 -c 1.000000e-01
88.619161,7.948037,100,0.001,0.1,-s 3 -t 2 -g 1.000000e-05 -c 1.000000e-01
89.907475,7.997412,300,0.001,0.1,-s 3 -t 2 -g 3.333333e-06 -c 1.000000e-01
117.97245,10.151788,3,0.01,0.1,-s 3 -t 2 -g 3.333333e-03 -c 1.000000e-01
94.908506,8.474939,10,0.01,0.1,-s 3 -t 2 -g 1.000000e-03 -c 1.000000e-01
89.445637,8.23375,30,0.01,0.1,-s 3 -t 2 -g 3.333333e-04 -c 1.000000e-01
88.55959,7.944654,100,0.01,0.1,-s 3 -t 2 -g 1.000000e-04 -c 1.000000e-01
