SUMMARY______________________________,,,,
files:,,,,
Gdax_BTCUSD_1h_new.csv,,,,
Gdax_ETHUSD_1h_new.csv,,,,
predInd=1,d=1,,,
inputs:     1,,,,
,,,,
trainMSE,testMSE,n,g_p,C
16767.777319,411.557504,100,0.1,0.001
16712.451265,411.856209,100,10,0.001
16844.735111,416.563035,300,100,0.001
15182.916934,417.590555,300,10,0.1
16343.590342,423.283074,100,10,0.01
11528.790361,424.702777,30,100,0.1
6135.013043,427.392863,30,1000,1
6135.013043,427.392863,30,1000,10
6135.013043,427.392863,30,1000,100
6135.013043,427.392863,30,1000,1000
7315.909063,430.024209,100,1,1000
15719.818719,431.172717,100,1000,0.01
19755.727657,432.526977,3,0.001,10
19756.718439,432.619483,3,0.01,1
19766.98881,435.225147,3,0.1,0.1
11234.194423,435.451946,100,100,0.1
7268.576796,438.553656,100,10,10
19851.382792,438.84228,3,1,0.01
15151.243291,439.761622,300,0.01,1000
20393.687212,440.182574,3,10,0.001
15665.703349,440.58047,100,100,0.01
16642.100993,440.865328,100,100,0.001
10723.681831,442.659339,30,1000,0.1
11115.101571,443.503027,300,100,0.1
15105.004631,450.319594,300,0.1,100
9587.604968,465.0565,3,100,1000
9963.487199,470.678525,3,100,100
15919.015653,470.726363,300,1000,0.01
16797.695848,479.256015,10,1000,0.01
6438.901881,484.834706,30,100,1
21993.905252,492.657903,3,0.001,1
21994.079179,492.661674,3,0.01,0.1
21995.809586,492.697775,3,0.1,0.01
22012.288969,493.039395,3,1,0.001
7411.954807,499.369289,10,100,100
22346.658209,503.030483,3,0.001,0.1
22346.677771,503.031773,3,0.01,0.01
22346.869446,503.041548,3,0.1,0.001
22385.016153,505.636022,3,0.001,0.01
22385.018099,505.636121,3,0.01,0.001
6865.11049,505.736833,100,10,100
22388.76207,505.780641,3,0.001,0.001
10449.267419,507.677927,3,100,10
16004.062052,508.333641,300,100,0.01
12040.153681,527.274414,300,10,1
14605.514499,528.590255,300,1,10
14822.903073,554.608182,300,0.1,1000
8452.434782,557.01133,3,1000,1
6428.059111,559.38564,100,100,1
6941.81148,564.75754,100,10,1000
11718.21692,578.263625,300,1,100
7974.245496,593.520875,300,1,1000
14640.032471,594.771185,3,1000,0.1
6628.038817,595.835592,30,100,10
6628.038817,595.835592,30,100,100
6628.038817,595.835592,30,100,1000
7922.456341,616.297159,300,10,10
7591.34959,626.198356,10,100,1000
6469.814566,626.28387,100,100,10
6469.814566,626.28387,100,100,100
6469.814566,626.28387,100,100,1000
7949.326166,629.191087,3,1000,10
10567.896266,629.949193,100,1000,0.1
11402.20475,652.220976,10,1000,0.1
6161.617728,872.847661,100,1000,1
6161.617728,872.847661,100,1000,10
6161.617728,872.847661,100,1000,100
6161.617728,872.847661,100,1000,1000
7916.945886,906.526334,300,10,100
7916.860212,908.518933,300,10,1000
6697.230121,927.532313,10,1000,1
6697.230121,927.532313,10,1000,10
6697.230121,927.532313,10,1000,100
6697.230121,927.532313,10,1000,1000
8206.470229,1024.826243,3,1000,100
6745.524243,1129.383579,300,100,1
6757.146777,1145.737594,300,100,10
6757.146777,1145.737594,300,100,100
6757.146777,1145.737594,300,100,1000
10801.94902,1218.324073,300,1000,0.1
8507.667486,1323.71077,3,1000,1000
6251.721087,1567.332204,300,1000,1
6251.721087,1567.332204,300,1000,10
6251.721087,1567.332204,300,1000,100
6251.721087,1567.332204,300,1000,1000
