Created on 03-03-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-02-28 03-AM,ETHUSD,880,885,879.12,884.35,4134.2,3651657.63
2018-02-28 02-AM,ETHUSD,879.49,882,878.04,880,3504.29,3086674.71
2018-02-28 01-AM,ETHUSD,876.55,883.1,875.54,879.49,2244.41,1975418.82
2018-02-28 12-AM,ETHUSD,870.98,876.89,870.5,876.55,1451.69,1268113.2
2018-02-27 11-PM,ETHUSD,876.7,878.67,870.04,870.98,1548.84,1355641.79
2018-02-27 10-PM,ETHUSD,879,880,875.33,876.7,1965.96,1726586.13
2018-02-27 09-PM,ETHUSD,877.21,880,875.43,879,2896.74,2543949.53
2018-02-27 08-PM,ETHUSD,876.29,878.81,876,877.21,2246.33,1971377.35
2018-02-27 07-PM,ETHUSD,872.27,879.57,872.27,876.29,2548.81,2234261.92
2018-02-27 06-PM,ETHUSD,867.33,872.96,867.33,872.27,2223.11,1934517.88
2018-02-27 05-PM,ETHUSD,872.56,873.21,867.33,867.33,1579.14,1375462.84
2018-02-27 04-PM,ETHUSD,870,874,866.43,872.56,3554.04,3091779.23
2018-02-27 03-PM,ETHUSD,879.77,879.77,864.95,870,6277.93,5463522.13
2018-02-27 02-PM,ETHUSD,887.5,887.5,876.49,879.77,2305.91,2029774.89
2018-02-27 01-PM,ETHUSD,882,888.95,876.1,887.5,3956.49,3489983.52
2018-02-27 12-PM,ETHUSD,882.98,885.99,880.77,882,1281.3,1131494.24
2018-02-27 11-AM,ETHUSD,878.24,883.99,876.34,882.98,1489.2,1311473.87
2018-02-27 10-AM,ETHUSD,890.52,890.8,876.5,878.24,1823.4,1608738.53
2018-02-27 09-AM,ETHUSD,891.26,893.9,886.34,890.52,1998.67,1778607.05
2018-02-27 08-AM,ETHUSD,888.56,894,886.15,891.26,3161.78,2816690.08
2018-02-27 07-AM,ETHUSD,875.24,890,874.58,888.56,5596.28,4941080.42
2018-02-27 06-AM,ETHUSD,874.88,877,874.03,875.24,1647.38,1442582.87
2018-02-27 05-AM,ETHUSD,871,875,868.36,874.88,2871.83,2507502.04
2018-02-27 04-AM,ETHUSD,867.95,871.9,867.95,871,2344.17,2039594.63
2018-02-27 03-AM,ETHUSD,863,869.49,861,867.95,1833.63,1588413.86
2018-02-27 02-AM,ETHUSD,863.51,866,860.97,863,1923.53,1659964.81
2018-02-27 01-AM,ETHUSD,871.41,871.99,861,863.51,1802.67,1562885.8
2018-02-27 12-AM,ETHUSD,867.09,872,865.49,871.41,1701.59,1478653.97
2018-02-26 11-PM,ETHUSD,868.03,868.03,862.2,867.09,1127.46,976508.54
2018-02-26 10-PM,ETHUSD,864.9,870.38,861.88,868.03,2336.62,2023988.05
2018-02-26 09-PM,ETHUSD,862,871,860,864.9,4781.34,4144263.56
2018-02-26 08-PM,ETHUSD,863.4,863.4,856.93,862,2974.06,2555944.49
2018-02-26 07-PM,ETHUSD,862,864,860.21,863.4,2678.9,2310469.13
2018-02-26 06-PM,ETHUSD,867.97,872,859.21,862,2597.74,2244380.14
2018-02-26 05-PM,ETHUSD,862.63,868.07,857.22,867.97,3801.01,3274270.17
2018-02-26 04-PM,ETHUSD,870.92,874.94,861.99,862.63,3925.93,3413464.36
2018-02-26 03-PM,ETHUSD,872.58,874.35,869.49,870.92,3233.32,2817500.42
2018-02-26 02-PM,ETHUSD,870,877.5,869,872.58,4408.71,3849201.95
2018-02-26 01-PM,ETHUSD,866.17,877,866.17,870,7125.01,6213778.39
2018-02-26 12-PM,ETHUSD,859.07,866.18,855.96,866.17,1352.38,1163174.33
2018-02-26 11-AM,ETHUSD,857.07,862.07,857.06,859.07,1774.63,1525649.96
2018-02-26 10-AM,ETHUSD,845.81,857.07,845.65,857.07,1003.44,856207.64
2018-02-26 09-AM,ETHUSD,842.05,848,841.42,845.81,1179.41,996655.36
2018-02-26 08-AM,ETHUSD,844.74,845.06,837.19,842.05,1310.44,1101238.65
2018-02-26 07-AM,ETHUSD,836.23,844.74,835.84,844.74,932.31,782625.83
2018-02-26 06-AM,ETHUSD,849.44,849.44,835,836.23,2106.19,1770262.83
2018-02-26 05-AM,ETHUSD,851.75,854,845.84,849.44,870.75,739771.83
2018-02-26 04-AM,ETHUSD,850.1,851.93,845.84,851.75,2984.44,2532097.57
2018-02-26 03-AM,ETHUSD,857.36,858,847.93,850.1,2371.79,2020979.15
2018-02-26 02-AM,ETHUSD,853.99,859,851.16,857.36,2884.81,2466572.95
2018-02-26 01-AM,ETHUSD,842.36,854.01,842.35,853.99,4027.62,3417341.08
2018-02-26 12-AM,ETHUSD,841.96,844.03,838.52,842.36,1462.28,1231250.79
2018-02-25 11-PM,ETHUSD,847.16,847.24,839.1,841.96,2061.35,1739232.08
2018-02-25 10-PM,ETHUSD,840.09,847.24,837.7,847.16,1771.96,1492566.41
2018-02-25 09-PM,ETHUSD,838.37,841.79,834.4,840.09,1952.05,1637456.06
